experiments,subjects,phases,blocks,pairtypes,accuracys
Experiment 1 No Delay,3129,3,1,overlapping,0.5
Experiment 1 No Delay,3129,3,1,unique,1
Experiment 1 No Delay,3129,3,2,overlapping,0.75
Experiment 1 No Delay,3129,3,2,unique,1
Experiment 1 No Delay,3129,3,3,overlapping,1
Experiment 1 No Delay,3129,3,3,unique,1
Experiment 1 No Delay,3129,3,4,overlapping,0.75
Experiment 1 No Delay,3129,3,4,unique,0.75
Experiment 1 No Delay,3129,3,5,overlapping,1
Experiment 1 No Delay,3129,3,5,unique,1
Experiment 1 No Delay,3133,1,1,overlapping,0.5
Experiment 1 No Delay,3133,1,1,unique,0.5
Experiment 1 No Delay,3133,1,2,overlapping,1
Experiment 1 No Delay,3133,1,2,unique,1
Experiment 1 No Delay,3133,1,3,overlapping,1
Experiment 1 No Delay,3133,1,3,unique,0.75
Experiment 1 No Delay,3133,1,4,overlapping,1
Experiment 1 No Delay,3133,1,4,unique,1
Experiment 1 No Delay,3133,1,5,overlapping,1
Experiment 1 No Delay,3133,1,5,unique,0.75
Experiment 1 No Delay,3133,2,1,overlapping,0.5
Experiment 1 No Delay,3133,2,1,unique,0.75
Experiment 1 No Delay,3133,2,2,overlapping,1
Experiment 1 No Delay,3133,2,2,unique,1
Experiment 1 No Delay,3133,2,3,overlapping,1
Experiment 1 No Delay,3133,2,3,unique,1
Experiment 1 No Delay,3133,2,4,overlapping,0.75
Experiment 1 No Delay,3133,2,4,unique,1
Experiment 1 No Delay,3133,2,5,overlapping,0.75
Experiment 1 No Delay,3133,2,5,unique,1
Experiment 1 No Delay,3133,3,1,overlapping,1
Experiment 1 No Delay,3133,3,1,unique,0.5
Experiment 1 No Delay,3133,3,2,overlapping,1
Experiment 1 No Delay,3133,3,2,unique,1
Experiment 1 No Delay,3133,3,3,overlapping,1
Experiment 1 No Delay,3133,3,3,unique,0.75
Experiment 1 No Delay,3133,3,4,overlapping,1
Experiment 1 No Delay,3133,3,4,unique,0.75
Experiment 1 No Delay,3133,3,5,overlapping,1
Experiment 1 No Delay,3133,3,5,unique,1
Experiment 1 No Delay,3134,1,1,overlapping,0.75
Experiment 1 No Delay,3134,1,1,unique,0.75
Experiment 1 No Delay,3134,1,2,overlapping,0.5
Experiment 1 No Delay,3134,1,2,unique,1
Experiment 1 No Delay,3134,1,3,overlapping,0.75
Experiment 1 No Delay,3134,1,3,unique,1
Experiment 1 No Delay,3134,1,4,overlapping,1
Experiment 1 No Delay,3134,1,4,unique,1
Experiment 1 No Delay,3134,1,5,overlapping,0.75
Experiment 1 No Delay,3134,1,5,unique,1
Experiment 1 No Delay,3134,2,1,overlapping,0.25
Experiment 1 No Delay,3134,2,1,unique,1
Experiment 1 No Delay,3134,2,2,overlapping,1
Experiment 1 No Delay,3134,2,2,unique,1
Experiment 1 No Delay,3134,2,3,overlapping,1
Experiment 1 No Delay,3134,2,3,unique,1
Experiment 1 No Delay,3134,2,4,overlapping,1
Experiment 1 No Delay,3134,2,4,unique,1
Experiment 1 No Delay,3134,2,5,overlapping,1
Experiment 1 No Delay,3134,2,5,unique,1
Experiment 1 No Delay,3134,3,1,overlapping,0.75
Experiment 1 No Delay,3134,3,1,unique,0.5
Experiment 1 No Delay,3134,3,2,overlapping,1
Experiment 1 No Delay,3134,3,2,unique,1
Experiment 1 No Delay,3134,3,3,overlapping,1
Experiment 1 No Delay,3134,3,3,unique,1
Experiment 1 No Delay,3134,3,4,overlapping,1
Experiment 1 No Delay,3134,3,4,unique,1
Experiment 1 No Delay,3134,3,5,overlapping,1
Experiment 1 No Delay,3134,3,5,unique,1
Experiment 1 No Delay,3136,1,1,overlapping,0.75
Experiment 1 No Delay,3136,1,1,unique,0.75
Experiment 1 No Delay,3136,1,2,overlapping,0.75
Experiment 1 No Delay,3136,1,2,unique,0.5
Experiment 1 No Delay,3136,1,3,overlapping,1
Experiment 1 No Delay,3136,1,3,unique,1
Experiment 1 No Delay,3136,1,4,overlapping,1
Experiment 1 No Delay,3136,1,4,unique,1
Experiment 1 No Delay,3136,1,5,overlapping,1
Experiment 1 No Delay,3136,1,5,unique,1
Experiment 1 No Delay,3136,2,1,overlapping,0.5
Experiment 1 No Delay,3136,2,1,unique,0.75
Experiment 1 No Delay,3136,2,2,overlapping,0.75
Experiment 1 No Delay,3136,2,2,unique,1
Experiment 1 No Delay,3136,2,3,overlapping,1
Experiment 1 No Delay,3136,2,3,unique,1
Experiment 1 No Delay,3136,2,4,overlapping,1
Experiment 1 No Delay,3136,2,4,unique,1
Experiment 1 No Delay,3136,2,5,overlapping,1
Experiment 1 No Delay,3136,2,5,unique,1
Experiment 1 No Delay,3136,3,1,overlapping,0.75
Experiment 1 No Delay,3136,3,1,unique,1
Experiment 1 No Delay,3136,3,2,overlapping,1
Experiment 1 No Delay,3136,3,2,unique,1
Experiment 1 No Delay,3136,3,3,overlapping,1
Experiment 1 No Delay,3136,3,3,unique,1
Experiment 1 No Delay,3136,3,4,overlapping,1
Experiment 1 No Delay,3136,3,4,unique,1
Experiment 1 No Delay,3136,3,5,overlapping,1
Experiment 1 No Delay,3136,3,5,unique,1
Experiment 1 No Delay,3137,1,1,overlapping,0.5
Experiment 1 No Delay,3137,1,1,unique,0.5
Experiment 1 No Delay,3137,1,2,overlapping,1
Experiment 1 No Delay,3137,1,2,unique,1
Experiment 1 No Delay,3137,1,3,overlapping,1
Experiment 1 No Delay,3137,1,3,unique,1
Experiment 1 No Delay,3137,1,4,overlapping,1
Experiment 1 No Delay,3137,1,4,unique,1
Experiment 1 No Delay,3137,1,5,overlapping,1
Experiment 1 No Delay,3137,1,5,unique,1
Experiment 1 No Delay,3137,2,1,overlapping,1
Experiment 1 No Delay,3137,2,1,unique,0.75
Experiment 1 No Delay,3137,2,2,overlapping,1
Experiment 1 No Delay,3137,2,2,unique,1
Experiment 1 No Delay,3137,2,3,overlapping,1
Experiment 1 No Delay,3137,2,3,unique,1
Experiment 1 No Delay,3137,2,4,overlapping,1
Experiment 1 No Delay,3137,2,4,unique,1
Experiment 1 No Delay,3137,2,5,overlapping,1
Experiment 1 No Delay,3137,2,5,unique,1
Experiment 1 No Delay,3137,3,1,overlapping,0.75
Experiment 1 No Delay,3137,3,1,unique,1
Experiment 1 No Delay,3137,3,2,overlapping,0.25
Experiment 1 No Delay,3137,3,2,unique,1
Experiment 1 No Delay,3137,3,3,overlapping,0.75
Experiment 1 No Delay,3137,3,3,unique,1
